feature_set,n_train_other,n_train_finetune,n_test,finetune_subset_label,user_cutoff,train_all_p5_cutoff,train_finetune_p5_cutoff,median_similarity_to_train_all,median_similarity_to_train_finetune,mean_topk_similarity_to_train_all,mean_topk_similarity_to_train_finetune,delta_mean_topk_finetune_minus_all,fine_tuning_preferred,output_subdir,n_outside_ad_user_cutoff_all,pct_outside_ad_user_cutoff_all,n_outside_ad_user_cutoff_finetune,pct_outside_ad_user_cutoff_finetune,n_outside_ad_train_all_p5,pct_outside_ad_train_all_p5,n_outside_ad_train_finetune_p5,pct_outside_ad_train_finetune_p5,is_best
chemeleon+rdkit_path_min4_max7_b2048,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.8342036604881287,0.8342036604881287,0.8432551622390747,0.8432551622390747,0.8048759698867798,0.8048759698867798,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min4_max7_b2048,2,0.2557544757033248,2,0.2557544757033248,366,46.80306905370844,366,46.80306905370844,False
rdkit_path_min3_max5_b1024,0,3751,782,openadmet_expansion_train,0.4,0.7603022754192352,0.7603022754192352,0.7757731676101685,0.7757731676101685,0.7257147431373596,0.7257147431373596,0.0,False,AD_expansion_hlm/rdkit_path_min3_max5_b1024,3,0.3836317135549872,3,0.3836317135549872,371,47.44245524296675,371,47.44245524296675,False
chemeleon+morgan_r3_b2048,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.7536979913711548,0.7536979913711548,0.7592953443527222,0.7592953443527222,0.7009706497192383,0.7009706497192383,0.0,False,AD_expansion_hlm/chemeleon__morgan_r3_b2048,71,9.07928388746803,71,9.07928388746803,372,47.570332480818415,372,47.570332480818415,False
chemeleon+morgan_r3_b4096,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.7518384754657745,0.7518384754657745,0.7566845417022705,0.7566845417022705,0.6985582709312439,0.6985582709312439,0.0,False,AD_expansion_hlm/chemeleon__morgan_r3_b4096,74,9.462915601023019,74,9.462915601023019,373,47.69820971867008,373,47.69820971867008,False
chemeleon+rdkit_path_min3_max7_b2048,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.8403950333595276,0.8403950333595276,0.8480210304260254,0.8480210304260254,0.8091720938682556,0.8091720938682556,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min3_max7_b2048,2,0.2557544757033248,2,0.2557544757033248,374,47.82608695652174,374,47.82608695652174,False
chemeleon+rdkit_path_min4_max7_b4096,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.8174729943275452,0.8174729943275452,0.8250424861907959,0.8250424861907959,0.777794361114502,0.777794361114502,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min4_max7_b4096,12,1.5345268542199488,12,1.5345268542199488,376,48.08184143222506,376,48.08184143222506,False
rdkit_path_min4_max5_b1024,0,3751,782,openadmet_expansion_train,0.4,0.7440185844898224,0.7440185844898224,0.7571072578430176,0.7571072578430176,0.7060192823410034,0.7060192823410034,0.0,False,AD_expansion_hlm/rdkit_path_min4_max5_b1024,3,0.3836317135549872,3,0.3836317135549872,377,48.209718670076725,377,48.209718670076725,False
rdkit_path_min3_max5_b2048,0,3751,782,openadmet_expansion_train,0.4,0.7450604438781738,0.7450604438781738,0.7525036931037903,0.7525036931037903,0.7030208706855774,0.7030208706855774,0.0,False,AD_expansion_hlm/rdkit_path_min3_max5_b2048,8,1.0230179028132993,8,1.0230179028132993,377,48.209718670076725,377,48.209718670076725,False
rdkit_path_min4_max5_b4096,0,3751,782,openadmet_expansion_train,0.4,0.7176934480667114,0.7176934480667114,0.7323054075241089,0.7323054075241089,0.6759141087532043,0.6759141087532043,0.0,False,AD_expansion_hlm/rdkit_path_min4_max5_b4096,14,1.7902813299232736,14,1.7902813299232736,377,48.209718670076725,377,48.209718670076725,False
rdkit_path_min3_max5_b4096,0,3751,782,openadmet_expansion_train,0.4,0.733098179101944,0.733098179101944,0.7436507940292358,0.7436507940292358,0.6908450722694397,0.6908450722694397,0.0,False,AD_expansion_hlm/rdkit_path_min3_max5_b4096,11,1.4066496163682864,11,1.4066496163682864,378,48.33759590792839,378,48.33759590792839,False
rdkit_path_min4_max5_b2048,0,3751,782,openadmet_expansion_train,0.4,0.7256390154361725,0.7256390154361725,0.7362041473388672,0.7362041473388672,0.6861019730567932,0.6861019730567932,0.0,False,AD_expansion_hlm/rdkit_path_min4_max5_b2048,11,1.4066496163682864,11,1.4066496163682864,379,48.46547314578005,379,48.46547314578005,False
chemeleon+rdkit_path_min3_max7_b4096,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.8213388621807098,0.8213388621807098,0.8283873200416565,0.8283873200416565,0.7811921834945679,0.7811921834945679,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min3_max7_b4096,10,1.278772378516624,10,1.278772378516624,381,48.72122762148338,381,48.72122762148338,False
chemeleon+morgan_r2_b2048,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.7903247475624084,0.7903247475624084,0.7928917407989502,0.7928917407989502,0.7402316927909851,0.7402316927909851,0.0,False,AD_expansion_hlm/chemeleon__morgan_r2_b2048,23,2.9411764705882355,23,2.9411764705882355,383,48.9769820971867,383,48.9769820971867,False
chemeleon+morgan_r3_b1024,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.7599945366382599,0.7599945366382599,0.762310266494751,0.762310266494751,0.7068242430686951,0.7068242430686951,0.0,False,AD_expansion_hlm/chemeleon__morgan_r3_b1024,65,8.312020460358056,65,8.312020460358056,384,49.10485933503836,384,49.10485933503836,False
chemeleon+morgan_r2_b4096,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.7892835736274719,0.7892835736274719,0.7927564382553101,0.7927564382553101,0.7390166521072388,0.7390166521072388,0.0,False,AD_expansion_hlm/chemeleon__morgan_r2_b4096,26,3.3248081841432224,26,3.3248081841432224,385,49.232736572890026,385,49.232736572890026,False
chemeleon+morgan_r2_b1024,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.7945366203784943,0.7945366203784943,0.7961424589157104,0.7961424589157104,0.7442195415496826,0.7442195415496826,0.0,False,AD_expansion_hlm/chemeleon__morgan_r2_b1024,22,2.813299232736573,22,2.813299232736573,387,49.48849104859335,387,49.48849104859335,False
chemeleon+rdkit_path_min3_max6_b1024,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.8622773885726929,0.8622773885726929,0.8586946725845337,0.8586946725845337,0.8228840827941895,0.8228840827941895,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min3_max6_b1024,1,0.1278772378516624,1,0.1278772378516624,396,50.63938618925831,396,50.63938618925831,False
