activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
15074568,CHEMBL1464,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,smiles_found,CHEMBL613580,Liver,CHEMBL3384356,CHEMBL3351564,2014,CL,=,23.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 0.75 uM incubated for 5 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 0.75 um incubated for 5 mins prior to nadph addition measured after 30 mins by lc/ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15118792,CHEMBL3330650,O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,smiles_found,CHEMBL613580,Liver,CHEMBL3377707,CHEMBL3351244,2014,CL,=,64.0,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15118793,CHEMBL3330652,O=C(NOCCO)c1ccn2cncc2c1Nc1ccc(I)cc1F,smiles_found,CHEMBL613580,Liver,CHEMBL3377707,CHEMBL3351244,2014,CL,=,75.0,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15118794,CHEMBL3330653,O=C(NOCCO)c1ncc2cncn2c1Nc1ccc(I)cc1F,smiles_found,CHEMBL613580,Liver,CHEMBL3377707,CHEMBL3351244,2014,CL,=,54.0,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15118795,CHEMBL3330654,C[C@H](O)CONC(=O)c1ncc2cncn2c1Nc1ccc(I)cc1F,smiles_found,CHEMBL613580,Liver,CHEMBL3377707,CHEMBL3351244,2014,CL,=,56.0,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15118796,CHEMBL3330655,C[C@H](CO)CONC(=O)c1ncc2cncn2c1Nc1ccc(I)cc1F,smiles_found,CHEMBL613580,Liver,CHEMBL3377707,CHEMBL3351244,2014,CL,=,29.0,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15185205,CHEMBL3187348,COc1ccc(C(=O)NCc2csc(C)n2)cc1OC1CCN(C(C)C)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL3404125,CHEMBL3400059,2015,CL,=,82.4,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15185206,CHEMBL1872483,COc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1OC1CCN(C(C)C)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL3404125,CHEMBL3400059,2015,CL,=,80.7,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15185207,CHEMBL3182315,CCn1nc(C)c(CNC(=O)c2ccc(OC)c(OC3CCN(C(C)C)CC3)c2)c1C,smiles_found,CHEMBL613580,Liver,CHEMBL3404125,CHEMBL3400059,2015,CL,=,22.4,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15185208,CHEMBL3188567,COc1ccc(C(=O)NC(C)Cc2ccccn2)cc1OC1CCN(C(C)C)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL3404125,CHEMBL3400059,2015,CL,=,48.8,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
