,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log10_nan,hlm_value_unscaled_log10_epsilon,hlm_value_scaled,hlm_value_scaled_log10_nan,hlm_value_scaled_log10_epsilon,dataset,scaling_was_applied
16282,CHEMBL5207332,CC(=O)N1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,0.083,-1.080921907623926,-1.080921907623926,0.083,-1.080921907623926,-1.080921907623926,chembl_dataset,False
16283,CHEMBL5200432,CN(C)CC(=O)N1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,0.04,-1.3979400086720375,-1.3979400086720375,0.04,-1.3979400086720375,-1.3979400086720375,chembl_dataset,False
16284,CHEMBL5201376,CN(C)C(=O)CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,0.057,-1.2441251443275083,-1.2441251443275083,0.057,-1.2441251443275083,-1.2441251443275083,chembl_dataset,False
16285,CHEMBL5193253,CN1CC[C@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)[C@H](F)C1,0.061,-1.214670164989233,-1.214670164989233,0.061,-1.214670164989233,-1.214670164989233,chembl_dataset,False
16286,CHEMBL5209502,CN1CC[C@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)[C@@H](F)C1,0.098,-1.0087739243075051,-1.0087739243075051,0.098,-1.0087739243075051,-1.0087739243075051,chembl_dataset,False
16287,CHEMBL5200601,C[C@H]1C[C@@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CCN1C,0.031,-1.5086383061657274,-1.5086383061657274,0.031,-1.5086383061657274,-1.5086383061657274,chembl_dataset,False
16288,CHEMBL5196755,C[C@@H]1C[C@@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CCN1C,0.088,-1.055517327849831,-1.055517327849831,0.088,-1.055517327849831,-1.055517327849831,chembl_dataset,False
16289,CHEMBL5187604,CN1C[C@@H]2C[C@H]1C[C@@H]2n1cc(Nc2nc(NC3(C)CC3)c3c(=O)n(C)ccc3n2)cn1,0.017,-1.769551078621726,-1.769551078621726,0.017,-1.769551078621726,-1.769551078621726,chembl_dataset,False
16290,CHEMBL5171632,CN1C[C@H]2C[C@@H]1C[C@@H]2n1cc(Nc2nc(NC3(C)CC3)c3c(=O)n(C)ccc3n2)cn1,0.014,-1.853871964321762,-1.853871964321762,0.014,-1.853871964321762,-1.853871964321762,chembl_dataset,False
16291,CHEMBL5193024,CN1CC2(CC(n3cc(Nc4nc(NC5(C)CC5)c5c(=O)n(C)ccc5n4)cn3)C2)C1,0.0097,-2.0132282657337552,-2.0132282657337552,0.0097,-2.0132282657337552,-2.0132282657337552,chembl_dataset,False
16292,CHEMBL5205770,CC(C)n1ccc2nc(Nc3cnn(C4CCN(C)CC4)c3)nc(NC3(C)CC3)c2c1=O,0.032,-1.494850021680094,-1.494850021680094,0.032,-1.494850021680094,-1.494850021680094,chembl_dataset,False
16293,CHEMBL5193495,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C5CC5)ccc4n3)cn2)CC1,0.025,-1.6020599913279625,-1.6020599913279625,0.025,-1.6020599913279625,-1.6020599913279625,chembl_dataset,False
16294,CHEMBL5189582,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C(F)F)ccc4n3)cn2)CC1,0.031,-1.5086383061657274,-1.5086383061657274,0.031,-1.5086383061657274,-1.5086383061657274,chembl_dataset,False
